date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:32	17764/17764	---MCZ	200	added ('OK')	text/css	etag:W/%225a1d8a7a-4564%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/swiper.min.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/swiper.min76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:32	3294/3294	---MCZ	200	added ('OK')	text/css	etag:W/%225936f6a2-1170%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-creative-search.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-creative-search76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:32	6/6	---M--	200	added ('OK')	text/css	etag:%225936f6a2-6%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-dynamic.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-dynamic76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:33	0/0	---M--	200	added ('OK')	text/css	etag:%225b9639ff-0%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/plugins/kirki/assets/css/kirki-styles.css?ver=3.0.33	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/plugins/kirki/assets/css/kirki-styles792f.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:33	96866/96866	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d71570e-17a6a%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/js/jquery/jqueryb8ff.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:33	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573ee2d0-2748%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:33	435/435	---MCZ	200	added ('OK')	application/javascript	etag:W/%22587765e0-20e%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/codeless-online.js?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/codeless-online76d7.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:34	7855/7855	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260784b6d-1eaf%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/js/imagesloaded.min.js?ver=3.2.0	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/js/imagesloaded.min55a0.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:34	63595/63595	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b97b864-1cf21%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/codeless-main.js?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/codeless-main76d7.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:34	6794/6794	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258ad1d10-1a8a%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/bowser.min.js?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/bowser.min76d7.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:34	11549/11549	---MCZ	200	added ('OK')	application/javascript	etag:W/%22587c7382-54b0%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/smoothscroll.js?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/js/smoothscroll76d7.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:35	4107/4107	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b9639fe-211f%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/plugins/codeless-builder/assets/js/cl-front-end.js?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/plugins/codeless-builder/assets/js/cl-front-end76d7.js	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:35	55263/55263	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2014:40:35%20GMT	https://preview.codeless.co/folie/portfolio-product-fullscreen/index.php?rest_route=/	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/index52f0.json	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:36	1078/1078	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Sep%202021%2014:40:36%20GMT	https://preview.codeless.co/folie/portfolio-product-fullscreen/xmlrpc.php?rsd	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/xmlrpc0db0.php	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:36	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2252a90808-415%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/wlwmanifest.xml	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-includes/wlwmanifest.xml	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:37	2409/2409	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2014:40:37%20GMT	https://preview.codeless.co/folie/portfolio-product-fullscreen/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fpreview.codeless.co%2Ffolie%2Fportfolio-product-fullscreen%2F	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/index9736.json	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:37	2503/2503	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Sep%202021%2014:40:37%20GMT	https://preview.codeless.co/folie/portfolio-product-fullscreen/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fpreview.codeless.co%2Ffolie%2Fportfolio-product-fullscreen%2F&format=xml	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/index0328.php	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:37	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2014:40:37%20GMT	https://codeless.co/folie/portfolio-product-fullscreen/wp-content/uploads/2018/09/logo.jpg	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/codeless.co/folie/portfolio-product-fullscreen/wp-content/uploads/2018/09/logo.17.delayed	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
